UID          PID    PPID  C STIME TTY          TIME CMD
root         867       2  0 20:42 ?        00:00:00 [scsi_tmf_0]
root         868       2  0 20:42 ?        00:00:00 [usb-storage]
root         869       2  0 20:42 ?        00:00:00 [uas]
root         924     733  0 20:42 ?        00:00:00 lightdm --session-child 15 22
isaac        931       1  0 20:42 ?        00:00:00 /lib/systemd/systemd --user
isaac        932     931  0 20:42 ?        00:00:00 (sd-pam)
isaac        948     931  0 20:42 ?        00:00:00 /usr/bin/pipewire
isaac        949     931  0 20:42 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
isaac        950     931  0 20:42 ?        00:00:00 /usr/bin/wireplumber
isaac        951     931  0 20:42 ?        00:00:00 /usr/bin/pipewire-pulse
isaac        953     931  0 20:42 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
isaac        954     931  0 20:42 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
isaac        978     924  0 20:42 ?        00:00:00 xfce4-session
isaac       1022     978  0 20:42 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
isaac       1032     931  0 20:42 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
isaac       1039    1032  0 20:42 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
isaac       1051     931  0 20:42 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
isaac       1063     931  0 20:42 ?        00:00:00 /usr/bin/gpg-agent --supervised
isaac       1065     978  0 20:42 ?        00:00:00 xfwm4
isaac       1069     931  0 20:42 ?        00:00:00 /usr/libexec/gvfsd
isaac       1075     931  0 20:42 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
isaac       1099     978  0 20:42 ?        00:00:00 xfsettingsd
root        1103       1  0 20:42 ?        00:00:00 /usr/libexec/upowerd
isaac       1109     978  0 20:42 ?        00:00:00 xfce4-panel
isaac       1114     978  0 20:42 ?        00:00:00 Thunar --daemon
isaac       1120     978  0 20:42 ?        00:00:00 xfdesktop
isaac       1124    1109  0 20:42 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Whisker Menu Show a menu to easily access installed applications
isaac       1128    1109  0 20:42 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777229 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
isaac       1129    1109  0 20:42 ?        00:00:02 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777230 genmon Generic Monitor Show output of a command.
